Zone,Nom,Catégorie,Statut,Adresse,Latitude,Longitude,Image,Source
Casablanca-Settat,Pharmacie Ifni,Parapharmacie,Formel,Rue Infi,33.5823599,-7.6019436,icons/pharmacy.png,OSM
Casablanca-Settat,Café Restaurant Tarfaya,Restaurant,Formel,Boulevard Bahmad,33.5894727,-7.5921448,icons/restaurant.png,OSM
Casablanca-Settat,Carrefour Market,Supermarché,Formel,Boulevard de la Gironde,33.5841408,-7.599484,icons/supermarket.png,OSM
Casablanca-Settat,Parapharmacie sans nom,Parapharmacie,Formel,Rue 15,33.5643746,-7.6097971,icons/pharmacy.png,OSM
Casablanca-Settat,Cafe 2 Mars,Café,Formel,Avenue 2 Mars,33.5661039,-7.6093338,icons/cafe.png,OSM
Casablanca-Settat,Tacos de Lyon,Restaurant,Formel,Avenue 2 Mars,33.5718335,-7.6138768,icons/restaurant.png,OSM
Casablanca-Settat,Shell Select,Supérette / Mini-market,Formel,Rue Alyazidi Mohamed,33.5733051,-7.6149409,icons/convenience.png,OSM
Casablanca-Settat,Cafe Clacier Dubai,Restaurant,Formel,Boulevard Mohammed VI,33.578465,-7.6001546,icons/restaurant.png,OSM
Casablanca-Settat,Pharmacie La Gironde,Parapharmacie,Formel,Rue Infi,33.5838537,-7.599594,icons/pharmacy.png,OSM
Casablanca-Settat,Parapharmacie sans nom,Parapharmacie,Formel,Avenue 2 Mars شارع 2 مارس,33.5768907,-7.6152125,icons/pharmacy.png,OSM
Casablanca-Settat,ماكدونالدز,Restaurant,Formel,Avenue 2 Mars,33.5759477,-7.6153091,icons/restaurant.png,OSM
Casablanca-Settat,Tacos Avenue,Restaurant,Formel,Avenue 2 Mars,33.5713977,-7.6131754,icons/restaurant.png,OSM
Casablanca-Settat,Mondial,Café,Formel,Avenue 2 Mars,33.5711485,-7.6130091,icons/cafe.png,OSM
Casablanca-Settat,Zén,Restaurant,Formel,Avenue 2 Mars,33.5703496,-7.6124807,icons/restaurant.png,OSM
Casablanca-Settat,Pharmacie Faris,Parapharmacie,Formel,Boulevard Mohammed VI,33.5662374,-7.5957853,icons/pharmacy.png,OSM
Casablanca-Settat,Boudad,Café,Formel,Rue Magellan,33.5908082,-7.6049423,icons/cafe.png,OSM
Casablanca-Settat,Pharmacie du Soleil,Parapharmacie,Formel,Rue Magellan,33.5903669,-7.6040746,icons/pharmacy.png,OSM
Casablanca-Settat,Pharmacie El Farah,Parapharmacie,Formel,Boulevard Bouchaib Doukkali,33.5683103,-7.5845481,icons/pharmacy.png,OSM
Casablanca-Settat,Pharmacie Ghazali,Parapharmacie,Formel,Pharmacie Ghazali,33.5657435,-7.5797457,icons/pharmacy.png,OSM
Casablanca-Settat,Le 5 Palmiers,Café,Formel,Boulevard Tah,33.5322685,-7.5849699,icons/cafe.png,OSM
Casablanca-Settat,Zounhours,Café,Formel,Boulevard Tah,33.5312563,-7.5880645,icons/cafe.png,OSM
Casablanca-Settat,Clip Cafe,Café,Formel,Avenue 2 Mars,33.5397459,-7.5998991,icons/cafe.png,OSM
Casablanca-Settat,Pharmacie Aman,Parapharmacie,Formel,Rue 17,33.5359704,-7.5770339,icons/pharmacy.png,OSM
Casablanca-Settat,Pharmacie Goumri,Parapharmacie,Formel,Boulevard Tah,33.5337089,-7.580665,icons/pharmacy.png,OSM
Casablanca-Settat,Parapharmacie sans nom,Parapharmacie,Formel,Avenue 2 Mars,33.5506674,-7.6024586,icons/pharmacy.png,OSM
Casablanca-Settat,Café La Source,Café,Formel,Avenue 2 Mars,33.5478561,-7.6020569,icons/cafe.png,OSM
Casablanca-Settat,Parapharmacie sans nom,Parapharmacie,Formel,Avenue 2 Mars,33.5479547,-7.602067,icons/pharmacy.png,OSM
Casablanca-Settat,Café Syntia,Café,Formel,Avenue 2 Mars,33.5461983,-7.6020982,icons/cafe.png,OSM
Casablanca-Settat,El Baouraoui Café,Café,Formel,Avenue 2 Mars,33.5462575,-7.6021096,icons/cafe.png,OSM
Casablanca-Settat,Palais Amira,Café,Formel,Avenue 2 Mars,33.5355652,-7.5957638,icons/cafe.png,OSM
Casablanca-Settat,Parapharmacie sans nom,Parapharmacie,Formel,Boulevard Tah,33.5313949,-7.5890227,icons/pharmacy.png,OSM
Casablanca-Settat,Ixia,Café,Formel,Rue 13,33.539469,-7.5791851,icons/cafe.png,OSM
Casablanca-Settat,Crèmerie Achkid,Restaurant,Formel,Boulevard d'Amgala,33.5406446,-7.5801185,icons/restaurant.png,OSM
Casablanca-Settat,Parapharmacie sans nom,Parapharmacie,Formel,Rue 10,33.5362787,-7.5773883,icons/pharmacy.png,OSM
Casablanca-Settat,Kamar lebnan,Restaurant,Formel,Rue Théophile Gauthier,33.5881278,-7.6310701,icons/restaurant.png,OSM
Casablanca-Settat,Café sans nom,Café,Formel,Rue Sebou,33.5891426,-7.6317809,icons/cafe.png,OSM
Casablanca-Settat,Pharmacie Chaab,Parapharmacie,Formel,Pharmacie Chaab,33.5409727,-7.5877997,icons/pharmacy.png,OSM
Casablanca-Settat,Pharmacie Khouloud,Parapharmacie,Formel,Zanqat 68,33.5395648,-7.5869025,icons/pharmacy.png,OSM
Casablanca-Settat,Cafe Rosage,Café,Formel,Rue 194,33.5423571,-7.5856224,icons/cafe.png,OSM
Casablanca-Settat,Skybury Café,Café,Formel,Boulevard d'Amgala,33.5375745,-7.5853535,icons/cafe.png,OSM
Casablanca-Settat,Espace La Parisien,Café,Formel,Boulevard d'Amgala,33.5369536,-7.5863788,icons/cafe.png,OSM
Casablanca-Settat,Cafe El Osra,Café,Formel,Boulevard d'Amgala,33.5367993,-7.5866456,icons/cafe.png,OSM
Casablanca-Settat,Espace Al Mouatine,Café,Formel,Boulevard de Smara,33.5353707,-7.5861213,icons/cafe.png,OSM
Casablanca-Settat,Espace Palma,Café,Formel,Boulevard de Smara,33.5344037,-7.585955,icons/cafe.png,OSM
Casablanca-Settat,Cafe Di Latorre,Café,Formel,Boulevard d'Amgala,33.5377182,-7.5857055,icons/cafe.png,OSM
Casablanca-Settat,Adana d'or,Café,Formel,Boulevard d'Amgala,33.5381005,-7.5850551,icons/cafe.png,OSM
Casablanca-Settat,Al Turkia,Café,Formel,Boulevard d'Amgala,33.5388293,-7.5838058,icons/cafe.png,OSM
Casablanca-Settat,Pharmacie Moulay Driss,Parapharmacie,Formel,Rue 50,33.5689517,-7.5868213,icons/pharmacy.png,OSM
Casablanca-Settat,Espace Laghlimi,Café,Formel,Espace Laghlimi,33.5409129,-7.5927289,icons/cafe.png,OSM
Casablanca-Settat,Flamengo,Restaurant,Formel,Flamengo,33.5408045,-7.5931285,icons/restaurant.png,OSM
Casablanca-Settat,Espace El Gharbia,Café,Formel,Boulevard d'Amgala,33.5373169,-7.5864244,icons/cafe.png,OSM
Casablanca-Settat,Cafe Al Amal,Café,Formel,Boulevard Tah,33.5324429,-7.5846836,icons/cafe.png,OSM
Casablanca-Settat,Parapharmacie sans nom,Parapharmacie,Formel,Boulevard de Smara,33.53766,-7.5899233,icons/pharmacy.png,OSM
Casablanca-Settat,Pharmacie des Urgences,Parapharmacie,Formel,Rue 1,33.5370027,-7.5858966,icons/pharmacy.png,OSM
Casablanca-Settat,Salon de Thé,Restaurant,Formel,Boulevard Abdellah Senhaji,33.5650026,-7.5882496,icons/restaurant.png,OSM
Casablanca-Settat,Café Imdioune,Restaurant,Formel,Boulevard Bouchaib Doukkali,33.5691305,-7.5839634,icons/restaurant.png,OSM
Casablanca-Settat,Pharmacie Ain Chifaa,Parapharmacie,Formel,Boulevard Bouchaib Doukkali,33.5700395,-7.5825861,icons/pharmacy.png,OSM
Casablanca-Settat,Pharmacie Assia,Parapharmacie,Formel,Rue 42,33.5704256,-7.5916801,icons/pharmacy.png,OSM
Casablanca-Settat,Linati,Restaurant,Formel,Boulevard du Golan,33.5716212,-7.5806791,icons/restaurant.png,OSM
Casablanca-Settat,Argana,Café,Formel,Rue 60,33.5647444,-7.5915889,icons/cafe.png,OSM
Casablanca-Settat,Espace Al Fath,Restaurant,Formel,Rue 8,33.5698484,-7.5946172,icons/restaurant.png,OSM
Casablanca-Settat,La Qualité,Café,Formel,Rue 42,33.5655066,-7.5923198,icons/cafe.png,OSM
Casablanca-Settat,Argana,Café,Formel,Rue 55,33.5651087,-7.5919417,icons/cafe.png,OSM
Casablanca-Settat,Pharmacie El Farraj,Parapharmacie,Formel,Boulevard Abdellah Senhaji,33.5673526,-7.5904222,icons/pharmacy.png,OSM
Casablanca-Settat,Pharmacie de Casablanca,Parapharmacie,Formel,Boulevard de la Croix,33.5749186,-7.5907414,icons/pharmacy.png,OSM
Casablanca-Settat,Pharmacie Laafou,Parapharmacie,Formel,Rue 34,33.5753387,-7.5931285,icons/pharmacy.png,OSM
Casablanca-Settat,Golden Space,Café,Formel,Boulevard de la Gironde,33.5832101,-7.5988175,icons/cafe.png,OSM
Casablanca-Settat,Cafe du Pont,Café,Formel,Boulevard de la Gironde,33.5826297,-7.5984453,icons/cafe.png,OSM
Casablanca-Settat,Pharmacie Albahia,Parapharmacie,Formel,Boulevard Ahmed Sebbagh,33.5744839,-7.5962278,icons/pharmacy.png,OSM
Casablanca-Settat,Café Sbaï,Café,Formel,Boulevard Abdellah Senhaji,33.5667425,-7.5894016,icons/cafe.png,OSM
Casablanca-Settat,Café Aswan,Restaurant,Formel,Boulevard du Golan شارع الجولان,33.5500951,-7.5677656,icons/restaurant.png,OSM
Casablanca-Settat,Parapharmacie sans nom,Parapharmacie,Formel,Avenue Abdelkader Sahraoui,33.5530547,-7.5499651,icons/pharmacy.png,OSM
Casablanca-Settat,Pharmacie Bouafi,Parapharmacie,Formel,Avenue d'Oued Eddahab,33.5443679,-7.5671098,icons/pharmacy.png,OSM
Casablanca-Settat,Cafe Zodiaque,Café,Formel,Avenue d'Oued Eddahab,33.5418954,-7.5712685,icons/cafe.png,OSM
Casablanca-Settat,Rainbow Cafe,Restaurant,Formel,Avenue d'Oued Eddahab,33.5401886,-7.5741479,icons/restaurant.png,OSM
Casablanca-Settat,Pharmacie Skiba,Parapharmacie,Formel,Avenue d'Oued Eddahab,33.5396252,-7.5750652,icons/pharmacy.png,OSM
Casablanca-Settat,Espace Changuai,Restaurant,Formel,Avenue Mekdad Lahrizi,33.5372811,-7.5734632,icons/restaurant.png,OSM
Casablanca-Settat,Ramada,Restaurant,Formel,Rue 188,33.539538,-7.573873,icons/restaurant.png,OSM
Casablanca-Settat,Pharmacie Ennajah,Parapharmacie,Formel,Avenue de Dakhla,33.5483839,-7.568998,icons/pharmacy.png,OSM
Casablanca-Settat,Cafe La Liga,Café,Formel,Avenue de Dakhla,33.5468661,-7.57153,icons/cafe.png,OSM
Casablanca-Settat,Nescafe,Café,Formel,Avenue de Dakhla,33.5468069,-7.5716347,icons/cafe.png,OSM
Casablanca-Settat,Pharmacie Dadi,Parapharmacie,Formel,Avenue de Dakhla,33.5464671,-7.5721396,icons/pharmacy.png,OSM
Casablanca-Settat,Pharmacie Faouz,Parapharmacie,Formel,Avenue de Dakhla,33.5439153,-7.5765418,icons/pharmacy.png,OSM
Casablanca-Settat,Pharmacie Dounia,Parapharmacie,Formel,Rue 145,33.5419122,-7.5725761,icons/pharmacy.png,OSM
Casablanca-Settat,Pharmacie Addahab,Parapharmacie,Formel,Rue 70,33.54397,-7.5696833,icons/pharmacy.png,OSM
Casablanca-Settat,Pharmacie Dispensaire Jamila 4,Parapharmacie,Formel,Rue 89,33.5466604,-7.5665988,icons/pharmacy.png,OSM
Casablanca-Settat,Golden Cup,Café,Formel,Rue 145,33.5430099,-7.5732386,icons/cafe.png,OSM
Casablanca-Settat,Pharmacie Benmoussa,Parapharmacie,Formel,Avenue du Commandant Driss Harti,33.5435352,-7.5805342,icons/pharmacy.png,OSM
Casablanca-Settat,Pharmacie Sbata,Parapharmacie,Formel,Avenue de Saquia-el-Hamra,33.5441768,-7.5730133,icons/pharmacy.png,OSM
Casablanca-Settat,Pharmacie Rachid,Parapharmacie,Formel,Avenue de Saquia-el-Hamra,33.5463631,-7.5694031,icons/pharmacy.png,OSM
Casablanca-Settat,Pharmacie Jamila,Parapharmacie,Formel,Avenue du Commandant Driss Harti,33.545992,-7.5764371,icons/pharmacy.png,OSM
Casablanca-Settat,Pharmacie Marche de Gros,Parapharmacie,Formel,Avenue du Commandant Driss Harti,33.548802,-7.5717339,icons/pharmacy.png,OSM
Casablanca-Settat,Café Anas,Café,Formel,Avenue du 6 Novembre 1975,33.5466593,-7.5770688,icons/cafe.png,OSM
Casablanca-Settat,Verona Cafe,Café,Formel,Avenue 6 Novembre 1975,33.5522891,-7.5823005,icons/cafe.png,OSM
Casablanca-Settat,Pharmacie Al Bouchra,Parapharmacie,Formel,Avenue de l'Ambassadeur Ben Aicha,33.601196,-7.5855754,icons/pharmacy.png,OSM
Casablanca-Settat,Pharmacie Massiwe,Parapharmacie,Formel,Avenue de l'Ambassadeur Ben Aicha,33.59964,-7.5891964,icons/pharmacy.png,OSM
Casablanca-Settat,Para Pharmacie,Parapharmacie,Formel,Avenue de l'Ambassadeur Ben Aicha,33.602561,-7.5822602,icons/pharmacy.png,OSM
Casablanca-Settat,Pharmacie El Mansour,Parapharmacie,Formel,Boulevard du Golan,33.558094,-7.573944,icons/pharmacy.png,OSM
Casablanca-Settat,Pharmcie Sif Eddinne,Parapharmacie,Formel,Boulevard de l'Unité Africaine,33.5566724,-7.5877748,icons/pharmacy.png,OSM
Casablanca-Settat,Pharmacie du Metro,Parapharmacie,Formel,Boulevard de l'Unité Africaine,33.5567138,-7.5911842,icons/pharmacy.png,OSM
Casablanca-Settat,Pharmacie Afriquia,Parapharmacie,Formel,Boulevard Mohammed VI,33.5548206,-7.5919738,icons/pharmacy.png,OSM
Casablanca-Settat,Café Agadir,Restaurant,Formel,Avenue du Commandant Driss Harti,33.5488254,-7.572265,icons/restaurant.png,OSM
Casablanca-Settat,Pharmacie Moulay Slimane,Parapharmacie,Formel,Route de Zenata,33.6177743,-7.5463294,icons/pharmacy.png,OSM
Casablanca-Settat,Parapharmacie sans nom,Parapharmacie,Formel,Avenue Réda Guédira,33.5523159,-7.5786996,icons/pharmacy.png,OSM
Casablanca-Settat,Cafe Rania,Café,Formel,Avenue Lahraouine,33.550901,-7.57429,icons/cafe.png,OSM
Casablanca-Settat,Pharmacie Zenata,Parapharmacie,Formel,Route de Zenata,33.6188677,-7.5392269,icons/pharmacy.png,OSM
Casablanca-Settat,Pharmacie Du Uban,Parapharmacie,Formel,Avenue du 6 Novembre 1975,33.5520812,-7.5815776,icons/pharmacy.png,OSM
Casablanca-Settat,Pharmacie Oued Zem,Parapharmacie,Formel,Boulevard de Oued Zem,33.5547747,-7.584579,icons/pharmacy.png,OSM
Casablanca-Settat,Pharmacie Lesperance,Parapharmacie,Formel,Boulevard de Madrid,33.6164096,-7.5248878,icons/pharmacy.png,OSM
Casablanca-Settat,La Revanche,Restaurant,Formel,Rue de Dax,33.5995316,-7.5874275,icons/restaurant.png,OSM
Casablanca-Settat,Moody's,Café,Formel,Boulevard Moulay Ismail,33.598514,-7.5804283,icons/cafe.png,OSM
Casablanca-Settat,Pharmacie Moubaraka,Parapharmacie,Formel,Route de Rabat,33.6154659,-7.5031149,icons/pharmacy.png,OSM
Casablanca-Settat,Pharmacie de la Gabe Ain Sebaa,Parapharmacie,Formel,Route de Rabat,33.6075583,-7.5235748,icons/pharmacy.png,OSM
Casablanca-Settat,Canova,Café,Formel,Rue Saint Saëns,33.595432,-7.5874154,icons/cafe.png,OSM
Casablanca-Settat,Chami Bacha,Restaurant,Formel,Rue Sijlmassa,33.5914595,-7.5915232,icons/restaurant.png,OSM
Casablanca-Settat,Pharmacie el Mrami,Parapharmacie,Formel,Route de Rabat,33.6238082,-7.4856645,icons/pharmacy.png,OSM
Casablanca-Settat,Pharmacie Feddan el Kheir,Parapharmacie,Formel,Route de Rabat,33.6209482,-7.4895899,icons/pharmacy.png,OSM
Casablanca-Settat,Pharmacie Ghouziel,Parapharmacie,Formel,Allée des Mimosas,33.6109571,-7.5297225,icons/pharmacy.png,OSM
Casablanca-Settat,Friend's Space,Restaurant,Formel,Boulevard Emile Zola,33.5963614,-7.592572,icons/restaurant.png,OSM
Casablanca-Settat,Wisley Gardens,Restaurant,Formel,Rue Vimy,33.5962274,-7.5905161,icons/restaurant.png,OSM
Casablanca-Settat,Espace Yasmine,Restaurant,Formel,Boulevard Mohamed Al Bakkali,33.5937954,-7.5178684,icons/restaurant.png,OSM
Casablanca-Settat,Pharmacie Racha,Parapharmacie,Formel,Route de Chabbou,33.5893928,-7.5262088,icons/pharmacy.png,OSM
Casablanca-Settat,Pharmacie Alaa,Parapharmacie,Formel,Boulevard Al Houcine Assoussi,33.590577,-7.5174178,icons/pharmacy.png,OSM
Casablanca-Settat,Plus,Supermarché,Formel,Boulevard Mohamed Al Bakkali,33.5930481,-7.5174715,icons/supermarket.png,OSM
Casablanca-Settat,Pharmacie Espace Santé صيدلية فضاء الصحة,Parapharmacie,Formel,Ain Harrouda,33.6342132,-7.4545723,icons/pharmacy.png,OSM
Casablanca-Settat,Pharmacie Ghafiri,Parapharmacie,Formel,Rue Abou Nouas,33.5607889,-7.6458289,icons/pharmacy.png,OSM
Casablanca-Settat,Pharmacie Odyssée صيدلية أوديسي,Parapharmacie,Formel,Rue Tair Al Firdaous,33.5631274,-7.6477303,icons/pharmacy.png,OSM
Casablanca-Settat,Cafe Glacier,Café,Formel,Route Al Jamiaa,33.567276,-7.6445413,icons/cafe.png,OSM
Casablanca-Settat,Cafe Barcelona,Café,Formel,Boulevard de la Grande Ceinture,33.5831677,-7.5543948,icons/cafe.png,OSM
Casablanca-Settat,Porta Biella,Restaurant,Formel,Boulevard Mohamed Zefzaf,33.5795879,-7.5127602,icons/restaurant.png,OSM
Casablanca-Settat,Bice Coffee,Café,Formel,Boulevard Mohamed Zefzaf,33.5786259,-7.5140946,icons/cafe.png,OSM
Casablanca-Settat,Parapharmacie sans nom,Parapharmacie,Formel,Boulevard Mohamed Zefzaf,33.5754292,-7.5202838,icons/pharmacy.png,OSM
Casablanca-Settat,Parapharmacie sans nom,Parapharmacie,Formel,Avenue Abdelkader Sahraoui,33.5678354,-7.5260223,icons/pharmacy.png,OSM
Casablanca-Settat,Pharmacie Al Ikram صيدلية الإكرام,Parapharmacie,Formel,Tit Mellil تيط مليل,33.5509759,-7.4774435,icons/pharmacy.png,OSM
Casablanca-Settat,Pharmacie Route de Rabat,Parapharmacie,Formel,Route Continentale,33.6021656,-7.5243822,icons/pharmacy.png,OSM
