Zone,Nom,Catégorie,Statut,Adresse,Latitude,Longitude,Image,Source
Tanger-Tétouan-Al Hoceïma,Bazar Alia,Supérette / Mini-market,Formel,Bazar Alia,35.8881009,-5.3132304,icons/convenience.png,OSM
Tanger-Tétouan-Al Hoceïma,Kiosque sans nom,Kiosque,Informel,Kiosque sans nom,35.8880636,-5.3136406,icons/kiosk.png,OSM
Tanger-Tétouan-Al Hoceïma,Palacio Ghandi,Supérette / Mini-market,Formel,Palacio Ghandi,35.8881029,-5.3131373,icons/convenience.png,OSM
Tanger-Tétouan-Al Hoceïma,El y Ella,Restaurant,Formel,El y Ella,35.8880643,-5.3137985,icons/restaurant.png,OSM
Tanger-Tétouan-Al Hoceïma,Carrefour Express,Supérette / Mini-market,Formel,Carrefour Express,35.8870519,-5.3123136,icons/convenience.png,OSM
Tanger-Tétouan-Al Hoceïma,Asador Los Jardines,Restaurant,Formel,Asador Los Jardines,35.8899919,-5.3198984,icons/restaurant.png,OSM
Tanger-Tétouan-Al Hoceïma,Manhattan,Café,Formel,Manhattan,35.8913895,-5.3188513,icons/cafe.png,OSM
Tanger-Tétouan-Al Hoceïma,Centro Gallego,Restaurant,Formel,Centro Gallego,35.8894369,-5.3193219,icons/restaurant.png,OSM
Tanger-Tétouan-Al Hoceïma,Anisa,Café,Formel,"boukhalef, Tanger طنجة",35.7341637,-5.8862989,icons/cafe.png,OSM
Tanger-Tétouan-Al Hoceïma,Domahana,Restaurant,Formel,Domahana,35.7923043,-5.866446,icons/restaurant.png,OSM
Tanger-Tétouan-Al Hoceïma,Tarifa rmilat,Restaurant,Formel,Tarifa rmilat,35.7923001,-5.8663711,icons/restaurant.png,OSM
Tanger-Tétouan-Al Hoceïma,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,35.7872822,-5.8648332,icons/restaurant.png,OSM
Tanger-Tétouan-Al Hoceïma,El Lucas,Restaurant,Formel,El Lucas,35.8852798,-5.3228652,icons/restaurant.png,OSM
Tanger-Tétouan-Al Hoceïma,Dar Ben Salam,Café,Formel,Dar Ben Salam,35.0496457,-5.3512316,icons/cafe.png,OSM
Tanger-Tétouan-Al Hoceïma,APIA Restaurant & Shop,Restaurant,Formel,APIA Restaurant & Shop,34.8342516,-5.543253,icons/restaurant.png,OSM
Tanger-Tétouan-Al Hoceïma,Café Oum Kolthoum,Café,Formel,Café Oum Kolthoum,35.7627338,-5.8390038,icons/cafe.png,OSM
Tanger-Tétouan-Al Hoceïma,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,35.1671907,-5.2644824,icons/restaurant.png,OSM
Tanger-Tétouan-Al Hoceïma,Café Carrion,Café,Formel,Café Carrion,34.7967721,-5.5797502,icons/cafe.png,OSM
Tanger-Tétouan-Al Hoceïma,Le coin,Restaurant,Formel,Le coin,35.1682553,-5.2650767,icons/restaurant.png,OSM
Tanger-Tétouan-Al Hoceïma,Café Terrassa,Café,Formel,Café Terrassa,35.1708828,-5.2577717,icons/cafe.png,OSM
Tanger-Tétouan-Al Hoceïma,Restaurant,Restaurant,Formel,Restaurant,34.9137304,-4.5693152,icons/restaurant.png,OSM
Tanger-Tétouan-Al Hoceïma,Buena vista,Restaurant,Formel,Buena vista,35.1937448,-4.6483463,icons/restaurant.png,OSM
Tanger-Tétouan-Al Hoceïma,Vista Mar,Restaurant,Formel,Vista Mar,35.1938253,-4.6482388,icons/restaurant.png,OSM
Tanger-Tétouan-Al Hoceïma,L'Ocean,Restaurant,Formel,L'Ocean,35.745065,-5.9393121,icons/restaurant.png,OSM
Tanger-Tétouan-Al Hoceïma,Rahmouni Délice Restaurant,Restaurant,Formel,Rahmouni Délice Restaurant,35.7776649,-5.8076293,icons/restaurant.png,OSM
Tanger-Tétouan-Al Hoceïma,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,35.7719012,-5.8046371,icons/restaurant.png,OSM
Tanger-Tétouan-Al Hoceïma,Café sans nom,Café,Formel,Café sans nom,35.7708931,-5.8080681,icons/cafe.png,OSM
Tanger-Tétouan-Al Hoceïma,Café sans nom,Café,Formel,Café sans nom,35.7838794,-5.8134768,icons/cafe.png,OSM
Tanger-Tétouan-Al Hoceïma,Galito’s,Restaurant,Formel,Galito’s,35.1672868,-5.2622314,icons/restaurant.png,OSM
Tanger-Tétouan-Al Hoceïma,مقهى يونس ,Café,Formel,مقهى يونس ,34.6199789,-4.8492742,icons/cafe.png,OSM
Tanger-Tétouan-Al Hoceïma,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,35.4341856,-5.6452911,icons/restaurant.png,OSM
Tanger-Tétouan-Al Hoceïma,مقهى النسيم,Café,Formel,مقهى النسيم,34.6185034,-4.8505653,icons/cafe.png,OSM
Tanger-Tétouan-Al Hoceïma,مقهى,Café,Formel,مقهى,34.6204047,-4.849185,icons/cafe.png,OSM
Tanger-Tétouan-Al Hoceïma,Snack Reda,Restaurant,Formel,Avenue Al Wahda Ain Haoudi,35.1770903,-5.2737411,icons/restaurant.png,OSM
Tanger-Tétouan-Al Hoceïma,قهوة غادي,Café,Formel,قهوة غادي,35.460348,-6.0369863,icons/cafe.png,OSM
Tanger-Tétouan-Al Hoceïma,Restaurant Chourafa,Restaurant,Formel,Rue Assaida Alhorra,35.1682226,-5.2643571,icons/restaurant.png,OSM
Tanger-Tétouan-Al Hoceïma,مقهى و مطعم,Restaurant,Formel,مقهى و مطعم,34.6370662,-4.921294,icons/restaurant.png,OSM
Tanger-Tétouan-Al Hoceïma,Cafeteria Gibraltar,Café,Formel,Cafeteria Gibraltar,35.4607934,-6.0382238,icons/cafe.png,OSM
Tanger-Tétouan-Al Hoceïma,Épicerie sans nom,Épicerie,Informel,Épicerie sans nom,35.453982,-6.0359895,icons/greengrocer.png,OSM
Tanger-Tétouan-Al Hoceïma,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,35.887214,-5.3156725,icons/restaurant.png,OSM
Tanger-Tétouan-Al Hoceïma,Carrefour Market,Supermarché,Formel,Carrefour Market,35.7826516,-5.8196425,icons/supermarket.png,OSM
Tanger-Tétouan-Al Hoceïma,Mr. Tacos,Restaurant,Formel,Avenue de Fès,35.7731981,-5.8140384,icons/restaurant.png,OSM
Tanger-Tétouan-Al Hoceïma,Alma Kitchen & Coffee,Café,Formel,Rue Antaki,35.7776313,-5.8044625,icons/cafe.png,OSM
Tanger-Tétouan-Al Hoceïma,Chili’s Tangier,Restaurant,Formel,Avenue Ludwig Van Beethoven,35.77367,-5.8010564,icons/restaurant.png,OSM
Tanger-Tétouan-Al Hoceïma,Smash & Bun,Restaurant,Formel,Avenue Mohammed VI شارع محمد السادس,35.780381,-5.805445,icons/restaurant.png,OSM
Tanger-Tétouan-Al Hoceïma,Café sans nom,Café,Formel,Café sans nom,35.7890831,-5.8127791,icons/cafe.png,OSM
Tanger-Tétouan-Al Hoceïma,Hanout,Supérette / Mini-market,Formel,Hanout,35.7323268,-5.8058038,icons/convenience.png,OSM
Tanger-Tétouan-Al Hoceïma,Supérette / Mini-market sans nom,Supérette / Mini-market,Formel,Supérette / Mini-market sans nom,35.732081,-5.8077376,icons/convenience.png,OSM
Tanger-Tétouan-Al Hoceïma,Chiringuito,Restaurant,Formel,Chiringuito,35.8101514,-5.3514058,icons/restaurant.png,OSM
Tanger-Tétouan-Al Hoceïma,Akchour View Point,Restaurant,Formel,Akchour View Point,35.2384582,-5.1808688,icons/restaurant.png,OSM
Tanger-Tétouan-Al Hoceïma,ABM DISTRIBUTION,Supermarché,Formel,ABM DISTRIBUTION,35.5574278,-5.4140576,icons/supermarket.png,OSM
Tanger-Tétouan-Al Hoceïma,Supermarché sans nom,Supermarché,Formel,Supermarché sans nom,35.119426,-4.3196911,icons/supermarket.png,OSM
Tanger-Tétouan-Al Hoceïma,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,35.5812355,-5.3566718,icons/restaurant.png,OSM
Tanger-Tétouan-Al Hoceïma,Cafes Porto Rico,Café,Formel,Cafes Porto Rico,35.7846184,-5.8114946,icons/cafe.png,OSM
Tanger-Tétouan-Al Hoceïma,DONNA Restaurant & Lounge,Restaurant,Formel,"Route de Malabata, Tanger",35.7743511,-5.7833148,icons/restaurant.png,OSM
Tanger-Tétouan-Al Hoceïma,Salon Roxy,Café,Formel,Salon Roxy,35.7780298,-5.8094904,icons/cafe.png,OSM
Tanger-Tétouan-Al Hoceïma,Cafè Paradis,Café,Formel,Cafè Paradis,35.7779156,-5.8066419,icons/cafe.png,OSM
Tanger-Tétouan-Al Hoceïma,Soju Sushi,Restaurant,Formel,Soju Sushi,35.778045,-5.8101958,icons/restaurant.png,OSM
Tanger-Tétouan-Al Hoceïma,Enzo's,Restaurant,Formel,Enzo's,35.7781538,-5.8099772,icons/restaurant.png,OSM
Tanger-Tétouan-Al Hoceïma,Roxy Food,Restaurant,Formel,Roxy Food,35.7777395,-5.8096839,icons/restaurant.png,OSM
Tanger-Tétouan-Al Hoceïma,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,35.5818262,-5.3445537,icons/restaurant.png,OSM
Tanger-Tétouan-Al Hoceïma,Café sans nom,Café,Formel,Café sans nom,34.9715704,-4.3682407,icons/cafe.png,OSM
Tanger-Tétouan-Al Hoceïma,Restaurant sans nom,Restaurant,Formel,Restaurant sans nom,34.9716605,-4.3681423,icons/restaurant.png,OSM
